iter	Passed	Remaining
1088	2762	2310
1089	2765	2308
1090	2767	2306
1091	2770	2303
1092	2772	2300
1093	2775	2298
1094	2777	2295
1095	2780	2293
1096	2782	2290
1097	2785	2287
1098	2787	2285
1099	2790	2282
1100	2792	2280
1101	2795	2277
1102	2797	2275
1103	2800	2272
1104	2803	2270
1105	2805	2267
1106	2808	2265
1107	2810	2262
1108	2813	2260
1109	2816	2258
1110	2818	2255
1111	2821	2252
1112	2823	2250
1113	2826	2247
1114	2828	2245
1115	2831	2242
1116	2833	2240
1117	2836	2237
1118	2838	2234
1119	2840	2232
1120	2843	2229
1121	2845	2226
1122	2848	2224
1123	2850	2221
1124	2853	2219
1125	2856	2216
1126	2858	2214
1127	2860	2211
1128	2863	2208
1129	2865	2206
1130	2868	2203
1131	2871	2201
1132	2873	2199
1133	2876	2196
1134	2879	2194
1135	2881	2191
1136	2884	2189
1137	2886	2186
1138	2889	2184
1139	2891	2181
1140	2894	2179
1141	2897	2176
1142	2899	2174
1143	2902	2171
1144	2904	2168
1145	2906	2166
1146	2909	2163
1147	2911	2161
1148	2914	2158
1149	2916	2155
1150	2919	2153
1151	2921	2150
1152	2924	2148
1153	2927	2146
1154	2930	2143
1155	2932	2141
1156	2935	2138
1157	2938	2136
1158	2940	2133
1159	2943	2131
1160	2945	2128
1161	2948	2126
1162	2951	2123
1163	2953	2121
1164	2956	2118
1165	2958	2116
1166	2961	2113
1167	2963	2111
1168	2966	2108
1169	2968	2106
1170	2971	2103
1171	2974	2101
1172	2976	2098
1173	2979	2096
1174	2981	2093
1175	2984	2090
1176	2986	2088
1177	2989	2085
1178	2991	2083
1179	2994	2080
1180	2996	2078
1181	2999	2075
1182	3001	2073
1183	3004	2070
1184	3006	2068
1185	3009	2065
1186	3011	2062
1187	3014	2060
1188	3016	2057
1189	3019	2055
1190	3021	2052
1191	3023	2049
1192	3026	2047
1193	3028	2044
1194	3031	2042
1195	3034	2039
1196	3037	2037
1197	3039	2034
1198	3042	2032
1199	3044	2029
1200	3047	2027
1201	3049	2024
1202	3052	2022
1203	3054	2019
1204	3057	2017
1205	3060	2014
1206	3062	2012
1207	3064	2009
1208	3067	2006
1209	3070	2004
1210	3072	2001
1211	3075	1999
1212	3078	1997
1213	3081	1994
1214	3083	1992
1215	3086	1989
1216	3088	1987
1217	3091	1984
1218	3094	1982
1219	3096	1979
1220	3099	1977
1221	3101	1974
1222	3104	1972
1223	3106	1969
1224	3109	1966
1225	3111	1964
1226	3114	1961
1227	3116	1959
1228	3119	1956
1229	3121	1954
1230	3124	1951
1231	3126	1949
1232	3129	1946
1233	3131	1943
1234	3133	1941
1235	3136	1938
1236	3139	1936
1237	3141	1933
1238	3144	1931
1239	3146	1928
1240	3148	1925
1241	3151	1923
1242	3153	1920
1243	3156	1918
1244	3158	1915
1245	3161	1912
1246	3163	1910
1247	3166	1907
1248	3168	1905
1249	3170	1902
1250	3173	1899
1251	3175	1897
1252	3178	1894
1253	3180	1892
1254	3183	1889
1255	3185	1887
1256	3188	1884
1257	3191	1882
1258	3193	1879
1259	3195	1877
1260	3198	1874
1261	3201	1872
1262	3203	1869
1263	3206	1866
1264	3208	1864
1265	3211	1861
1266	3213	1859
1267	3216	1856
1268	3218	1854
1269	3221	1851
1270	3223	1848
1271	3226	1846
1272	3228	1843
1273	3230	1841
1274	3233	1838
1275	3235	1835
1276	3238	1833
1277	3241	1831
1278	3243	1828
1279	3246	1826
1280	3248	1823
1281	3251	1820
1282	3253	1818
1283	3256	1815
1284	3258	1813
1285	3261	1810
1286	3263	1808
1287	3266	1805
1288	3268	1803
1289	3271	1800
1290	3274	1798
1291	3276	1795
1292	3278	1792
1293	3281	1790
1294	3283	1787
1295	3286	1785
1296	3288	1782
1297	3291	1780
1298	3293	1777
1299	3296	1774
1300	3298	1772
1301	3301	1769
1302	3303	1767
1303	3305	1764
1304	3308	1761
1305	3310	1759
1306	3313	1756
1307	3315	1754
1308	3318	1751
1309	3320	1749
1310	3323	1746
1311	3325	1744
1312	3328	1741
1313	3331	1739
1314	3334	1736
1315	3337	1734
1316	3339	1731
1317	3342	1729
1318	3344	1726
1319	3347	1724
1320	3349	1721
1321	3352	1719
1322	3355	1716
1323	3357	1714
1324	3360	1711
1325	3362	1709
1326	3365	1707
1327	3368	1704
1328	3371	1702
1329	3374	1699
1330	3376	1697
1331	3379	1694
1332	3381	1691
1333	3383	1689
1334	3386	1686
1335	3388	1684
1336	3391	1681
1337	3394	1679
1338	3396	1676
1339	3399	1674
1340	3401	1671
1341	3404	1669
1342	3406	1666
1343	3409	1664
1344	3411	1661
1345	3414	1658
1346	3416	1656
1347	3419	1654
1348	3422	1651
1349	3424	1648
1350	3427	1646
1351	3429	1643
1352	3432	1641
1353	3434	1638
1354	3436	1636
1355	3439	1633
1356	3442	1631
1357	3444	1628
1358	3447	1625
1359	3449	1623
1360	3451	1620
1361	3454	1618
1362	3457	1615
1363	3459	1613
1364	3462	1610
1365	3464	1608
1366	3467	1605
1367	3469	1603
1368	3472	1600
1369	3474	1597
1370	3477	1595
1371	3479	1592
1372	3482	1590
1373	3484	1587
1374	3487	1585
1375	3489	1582
1376	3492	1579
1377	3494	1577
1378	3496	1574
1379	3499	1572
1380	3501	1569
1381	3504	1567
1382	3506	1564
1383	3509	1561
1384	3511	1559
1385	3514	1556
1386	3516	1554
1387	3519	1551
1388	3521	1549
1389	3524	1546
1390	3526	1544
1391	3529	1541
1392	3531	1538
1393	3534	1536
1394	3536	1533
1395	3539	1531
1396	3541	1528
1397	3544	1526
1398	3547	1523
1399	3549	1521
1400	3552	1518
1401	3554	1516
1402	3557	1513
1403	3559	1511
1404	3562	1508
1405	3565	1506
1406	3567	1503
1407	3571	1501
1408	3573	1499
1409	3576	1496
1410	3579	1494
1411	3581	1491
1412	3583	1488
1413	3586	1486
1414	3588	1483
1415	3591	1481
1416	3594	1478
1417	3596	1476
1418	3599	1473
1419	3601	1471
1420	3604	1468
1421	3607	1466
1422	3609	1463
1423	3612	1461
1424	3614	1458
1425	3617	1455
1426	3619	1453
1427	3622	1450
1428	3625	1448
1429	3628	1446
1430	3630	1443
1431	3633	1441
1432	3636	1438
1433	3638	1436
1434	3641	1433
1435	3643	1431
1436	3646	1428
1437	3648	1425
1438	3651	1423
1439	3654	1421
1440	3656	1418
1441	3659	1415
1442	3661	1413
1443	3664	1410
1444	3666	1408
1445	3669	1405
1446	3671	1403
1447	3674	1400
1448	3676	1398
1449	3679	1395
1450	3681	1392
1451	3684	1390
1452	3686	1387
1453	3688	1385
1454	3691	1382
1455	3693	1380
1456	3696	1377
1457	3699	1375
1458	3701	1372
1459	3704	1370
1460	3707	1367
1461	3710	1365
1462	3712	1362
1463	3715	1360
1464	3717	1357
1465	3720	1355
1466	3723	1352
1467	3726	1350
1468	3728	1347
1469	3731	1345
1470	3733	1342
1471	3737	1340
1472	3739	1337
1473	3742	1335
1474	3744	1332
1475	3747	1330
1476	3749	1327
1477	3752	1325
1478	3754	1322
1479	3757	1320
1480	3760	1317
1481	3762	1315
1482	3765	1312
1483	3767	1310
1484	3770	1307
1485	3772	1305
1486	3775	1302
1487	3777	1299
1488	3780	1297
1489	3783	1294
1490	3785	1292
1491	3788	1289
1492	3791	1287
1493	3793	1284
1494	3796	1282
1495	3798	1279
1496	3800	1277
1497	3803	1274
1498	3806	1272
1499	3808	1269
1500	3811	1266
1501	3813	1264
1502	3816	1261
1503	3818	1259
1504	3821	1256
1505	3824	1254
1506	3826	1251
1507	3829	1249
1508	3832	1246
1509	3834	1244
1510	3837	1241
1511	3839	1239
1512	3842	1236
1513	3844	1234
1514	3847	1231
1515	3849	1229
1516	3852	1226
1517	3855	1224
1518	3857	1221
1519	3860	1219
1520	3863	1216
1521	3865	1214
1522	3867	1211
1523	3870	1208
1524	3872	1206
1525	3875	1203
1526	3878	1201
1527	3881	1198
1528	3883	1196
1529	3886	1193
1530	3888	1191
1531	3891	1188
1532	3893	1186
1533	3896	1183
1534	3898	1181
1535	3901	1178
1536	3904	1176
1537	3907	1173
1538	3909	1171
1539	3912	1168
1540	3916	1166
1541	3918	1163
1542	3920	1161
1543	3923	1158
1544	3925	1156
1545	3928	1153
1546	3931	1151
1547	3933	1148
1548	3936	1146
1549	3938	1143
1550	3941	1141
1551	3944	1138
1552	3946	1135
1553	3948	1133
1554	3951	1130
1555	3954	1128
1556	3956	1125
1557	3959	1123
1558	3961	1120
1559	3965	1118
1560	3967	1115
1561	3970	1113
1562	3973	1110
1563	3976	1108
1564	3978	1105
1565	3981	1103
1566	3983	1100
1567	3986	1098
1568	3988	1095
1569	3991	1093
1570	3994	1090
1571	3996	1088
1572	3999	1085
1573	4001	1083
1574	4004	1080
1575	4007	1078
1576	4009	1075
1577	4012	1072
1578	4014	1070
1579	4016	1067
1580	4019	1065
1581	4021	1062
1582	4024	1060
1583	4026	1057
1584	4029	1054
1585	4031	1052
1586	4034	1049
1587	4036	1047
1588	4039	1044
1589	4042	1042
1590	4045	1039
1591	4048	1037
1592	4050	1034
1593	4053	1032
1594	4055	1029
1595	4058	1027
1596	4060	1024
1597	4063	1022
1598	4066	1019
1599	4069	1017
1600	4072	1014
1601	4074	1012
1602	4077	1009
1603	4079	1007
1604	4082	1004
1605	4085	1002
1606	4087	999
1607	4090	997
1608	4092	994
1609	4095	992
1610	4097	989
1611	4100	986
1612	4103	984
1613	4105	981
1614	4107	979
1615	4110	976
1616	4113	974
1617	4115	971
1618	4118	969
1619	4120	966
1620	4123	964
1621	4126	961
1622	4128	959
1623	4131	956
1624	4133	953
1625	4136	951
1626	4138	948
1627	4141	946
1628	4143	943
1629	4145	941
1630	4148	938
1631	4150	935
1632	4153	933
1633	4155	930
1634	4158	928
1635	4160	925
1636	4163	923
1637	4165	920
1638	4168	918
1639	4170	915
1640	4173	913
1641	4175	910
1642	4178	907
1643	4180	905
1644	4183	902
1645	4186	900
1646	4188	897
1647	4190	895
1648	4193	892
1649	4196	890
1650	4198	887
1651	4200	884
1652	4203	882
1653	4206	879
1654	4208	877
1655	4211	874
1656	4213	872
1657	4215	869
1658	4218	867
1659	4221	864
1660	4224	862
1661	4226	859
1662	4229	857
1663	4232	854
1664	4235	852
1665	4237	849
1666	4240	847
1667	4243	844
1668	4246	842
1669	4248	839
1670	4251	836
1671	4253	834
1672	4256	831
1673	4258	829
1674	4261	826
1675	4263	824
1676	4266	821
1677	4269	819
1678	4272	816
1679	4274	814
1680	4277	811
1681	4280	809
1682	4282	806
1683	4285	804
1684	4287	801
1685	4290	799
1686	4292	796
1687	4295	793
1688	4297	791
1689	4300	788
1690	4302	786
1691	4305	783
1692	4308	781
1693	4310	778
1694	4313	776
1695	4315	773
1696	4318	771
1697	4321	768
1698	4323	766
1699	4326	763
1700	4328	760
1701	4331	758
1702	4334	755
1703	4336	753
1704	4338	750
1705	4341	748
1706	4343	745
1707	4345	742
1708	4348	740
1709	4351	737
1710	4353	735
1711	4356	732
1712	4358	730
1713	4361	727
1714	4364	725
1715	4366	722
1716	4369	720
1717	4372	717
